experiment,algo,episode,distance
FOMAML,VPG,199,22.4
FOMAML,VPG,200,23.2
FOMAML,VPG,201,21.94
FOMAML,VPG,202,25.18
FOMAML,VPG,203,28.68
FOMAML,VPG,204,31.75
FOMAML,VPG,205,29.76
FOMAML,VPG,206,28.98
FOMAML,VPG,207,30.11
FOMAML,VPG,208,31.32
FOMAML,VPG,209,29.45
FOMAML,VPG,210,28.35
FOMAML,VPG,211,25.72
FOMAML,VPG,212,23.21
FOMAML,VPG,213,24.03
FOMAML,VPG,214,23.94
FOMAML,VPG,215,25.88
FOMAML,VPG,216,27.25
FOMAML,VPG,217,30.13
FOMAML,VPG,218,28.76
FOMAML,VPG,219,26.91
FOMAML,VPG,220,30.02
FOMAML,VPG,221,34.95
FOMAML,VPG,222,37.96
FOMAML,VPG,223,43.24
FOMAML,VPG,224,43.7
FOMAML,VPG,225,45.9
FOMAML,VPG,226,39.86
FOMAML,VPG,227,33.95
FOMAML,VPG,228,33.91
FOMAML,VPG,229,33.37
FOMAML,VPG,230,34.86
FOMAML,VPG,231,36.16
FOMAML,VPG,232,37.01
FOMAML,VPG,233,37.56
FOMAML,VPG,234,33.08
FOMAML,VPG,235,28.66
FOMAML,VPG,236,27.84
FOMAML,VPG,237,26.74
FOMAML,VPG,238,29.17
FOMAML,VPG,239,33.34
FOMAML,VPG,240,39.93
FOMAML,VPG,241,44.43
FOMAML,VPG,242,47.01
FOMAML,VPG,243,47.61
FOMAML,VPG,244,45.16
FOMAML,VPG,245,49.22
FOMAML,VPG,246,45.29
FOMAML,VPG,247,44.86
FOMAML,VPG,248,39.85
FOMAML,VPG,249,38.99
FOMAML,VPG,250,32.76
FOMAML,VPG,251,28.86
FOMAML,VPG,252,28.76
FOMAML,VPG,253,29.71
FOMAML,VPG,254,30.79
FOMAML,VPG,255,30.24
FOMAML,VPG,256,29.82
FOMAML,VPG,257,32.02
FOMAML,VPG,258,32.05
FOMAML,VPG,259,30.75
FOMAML,VPG,260,27.68
FOMAML,VPG,261,28.23
FOMAML,VPG,262,25.8
FOMAML,VPG,263,25.86
FOMAML,VPG,264,27.31
FOMAML,VPG,265,28.63
FOMAML,VPG,266,32.21
FOMAML,VPG,267,34.16
FOMAML,VPG,268,34.67
