experiment,algo,episode,distance,time
lean_by_difficulty,VPG,144,1.45,0
lean_by_difficulty,VPG,145,3.47,0
lean_by_difficulty,VPG,146,1.65,0
lean_by_difficulty,VPG,147,0.59,0
lean_by_difficulty,VPG,148,1.59,0
lean_by_difficulty,VPG,149,1.94,0
lean_by_difficulty,VPG,150,2.94,0
lean_by_difficulty,VPG,151,0.61,0
lean_by_difficulty,VPG,152,1.35,0
lean_by_difficulty,VPG,153,1.91,0
lean_by_difficulty,VPG,154,2.48,0
lean_by_difficulty,VPG,155,3.09,0
lean_by_difficulty,VPG,156,1.39,0
lean_by_difficulty,VPG,157,1.92,0
lean_by_difficulty,VPG,158,1.17,0
lean_by_difficulty,VPG,159,1.47,0
lean_by_difficulty,VPG,160,0.1,0
lean_by_difficulty,VPG,161,0.35,0
lean_by_difficulty,VPG,162,0.22,0
lean_by_difficulty,VPG,163,0.48,0
lean_by_difficulty,VPG,164,0.31,0
lean_by_difficulty,VPG,165,0.78,0
lean_by_difficulty,VPG,166,1.96,0
lean_by_difficulty,VPG,167,0.78,0
lean_by_difficulty,VPG,168,0.05,0
lean_by_difficulty,VPG,169,0.53,0
lean_by_difficulty,VPG,170,0.57,0
lean_by_difficulty,VPG,171,0.71,0
lean_by_difficulty,VPG,172,0.94,0
lean_by_difficulty,VPG,173,1.06,0
lean_by_difficulty,VPG,174,1.22,0
lean_by_difficulty,VPG,175,0.12,0
lean_by_difficulty,VPG,176,2.25,0
lean_by_difficulty,VPG,177,1.79,0
lean_by_difficulty,VPG,178,1.25,0
lean_by_difficulty,VPG,179,1.43,0
lean_by_difficulty,VPG,180,0.49,0
lean_by_difficulty,VPG,181,0.11,0
lean_by_difficulty,VPG,182,0.93,0
lean_by_difficulty,VPG,183,1.58,0
lean_by_difficulty,VPG,184,1.28,0
lean_by_difficulty,VPG,185,2.07,0
lean_by_difficulty,VPG,186,1.44,0
lean_by_difficulty,VPG,187,0.91,0
lean_by_difficulty,VPG,188,1.29,0
lean_by_difficulty,VPG,189,1.28,0
lean_by_difficulty,VPG,190,2.1,0
lean_by_difficulty,VPG,191,0.92,0
lean_by_difficulty,VPG,192,1.77,0
lean_by_difficulty,VPG,193,0.45,0
lean_by_difficulty,VPG,194,0.24,0
lean_by_difficulty,VPG,195,0.91,0
lean_by_difficulty,VPG,196,0.14,0
lean_by_difficulty,VPG,197,1.83,0
lean_by_difficulty,VPG,198,1.22,0
lean_by_difficulty,VPG,199,1.27,0
lean_by_difficulty,VPG,200,1.15,0
lean_by_difficulty,VPG,201,0.54,0
lean_by_difficulty,VPG,202,2.51,0
lean_by_difficulty,VPG,203,3.05,0
lean_by_difficulty,VPG,204,1.64,0
lean_by_difficulty,VPG,205,1.6,0
lean_by_difficulty,VPG,206,0.97,0
lean_by_difficulty,VPG,207,1.25,0
lean_by_difficulty,VPG,208,2.71,0
lean_by_difficulty,VPG,209,1.69,0
lean_by_difficulty,VPG,210,2.11,0
lean_by_difficulty,VPG,211,2.95,0
lean_by_difficulty,VPG,212,1.29,0
lean_by_difficulty,VPG,213,2.01,0
lean_by_difficulty,VPG,214,2.22,0
lean_by_difficulty,VPG,215,0.52,0
lean_by_difficulty,VPG,216,1,0
lean_by_difficulty,VPG,217,1.91,0
lean_by_difficulty,VPG,218,1.61,0
lean_by_difficulty,VPG,219,1.67,0
lean_by_difficulty,VPG,220,1.43,0
lean_by_difficulty,VPG,221,1.24,0
lean_by_difficulty,VPG,222,0.99,0
lean_by_difficulty,VPG,223,1.4,0
lean_by_difficulty,VPG,224,2.1,0
lean_by_difficulty,VPG,225,1.88,0
lean_by_difficulty,VPG,226,1.51,0
lean_by_difficulty,VPG,227,2.81,0
lean_by_difficulty,VPG,228,1.8,0
lean_by_difficulty,VPG,229,3.14,0
lean_by_difficulty,VPG,230,1.85,0
lean_by_difficulty,VPG,231,1.25,0
lean_by_difficulty,VPG,232,2.12,0
lean_by_difficulty,VPG,233,2.68,0
lean_by_difficulty,VPG,234,2.62,0
lean_by_difficulty,VPG,235,3.09,0
lean_by_difficulty,VPG,236,2.14,0
lean_by_difficulty,VPG,237,2.6,0
lean_by_difficulty,VPG,238,2.4,0
lean_by_difficulty,VPG,239,3.13,0
lean_by_difficulty,VPG,240,1.8,0
lean_by_difficulty,VPG,241,2.02,0
lean_by_difficulty,VPG,242,2.01,0
lean_by_difficulty,VPG,243,2.21,0
lean_by_difficulty,VPG,244,2.33,0
lean_by_difficulty,VPG,245,1.64,0
lean_by_difficulty,VPG,246,1.4,0
lean_by_difficulty,VPG,247,1.15,0
lean_by_difficulty,VPG,248,1.84,0
lean_by_difficulty,VPG,249,0.91,0
lean_by_difficulty,VPG,250,0.85,0
lean_by_difficulty,VPG,251,1.13,0
lean_by_difficulty,VPG,252,1.36,0
lean_by_difficulty,VPG,253,3.84,0
