experiment,algo,episode,distance
original,VPG,265,21.29
original,VPG,266,33.1
original,VPG,267,18.53
original,VPG,268,16.89
original,VPG,269,31.52
original,VPG,270,23.11
original,VPG,271,19.88
original,VPG,272,27.13
original,VPG,273,34.4
original,VPG,274,32.92
original,VPG,275,26.91
original,VPG,276,17.88
original,VPG,277,17.95
original,VPG,278,20.26
original,VPG,279,17.83
original,VPG,280,27.96
original,VPG,281,18.19
original,VPG,282,27.87
original,VPG,283,29.21
original,VPG,284,31.15
original,VPG,285,19.05
original,VPG,286,28.34
original,VPG,287,28.61
original,VPG,288,18.93
original,VPG,289,34.28
original,VPG,290,30.08
original,VPG,291,28.22
original,VPG,292,33.52
original,VPG,293,29.44
original,VPG,294,34.27
original,VPG,295,30.78
original,VPG,296,30.16
original,VPG,297,35.59
original,VPG,298,31.52
original,VPG,299,34.69
original,VPG,300,34.83
original,VPG,301,29.92
original,VPG,302,29.06
original,VPG,303,32.93
original,VPG,304,22.18
original,VPG,305,36.23
original,VPG,306,36.07
original,VPG,307,33.93
original,VPG,308,34.63
original,VPG,309,30.9
original,VPG,310,38.09
original,VPG,311,33.26
original,VPG,312,34.4
original,VPG,313,39.62
original,VPG,314,26.37
original,VPG,315,33.91
original,VPG,316,32.19
original,VPG,317,32.47
original,VPG,318,18.95
original,VPG,319,32.41
original,VPG,320,34.76
original,VPG,321,32.53
original,VPG,322,35.86
original,VPG,323,32.67
original,VPG,324,33.4
original,VPG,325,36.94
original,VPG,326,31.39
original,VPG,327,31.07
original,VPG,328,22.42
original,VPG,329,19.15
original,VPG,330,37.53
original,VPG,331,30.74
original,VPG,332,22.08
original,VPG,333,30.09
original,VPG,334,18.8
original,VPG,335,21.31
original,VPG,336,32.48
original,VPG,337,24.73
original,VPG,338,29.18
original,VPG,339,29.56
original,VPG,340,20.05
original,VPG,341,20.22
original,VPG,342,33.3
original,VPG,343,32.78
original,VPG,344,21.7
original,VPG,345,28.37
original,VPG,346,20.81
original,VPG,347,35.08
original,VPG,348,28.43
original,VPG,349,31.53
original,VPG,350,32.6
original,VPG,351,22.11
original,VPG,352,32.84
original,VPG,353,31.07
original,VPG,354,20.18
original,VPG,355,31.55
original,VPG,356,30.02
original,VPG,357,34.95
original,VPG,358,28.82
original,VPG,359,20.76
original,VPG,360,20.84
original,VPG,361,27.96
original,VPG,362,18.89
original,VPG,363,29.8
original,VPG,364,18.21
original,VPG,365,19.01
original,VPG,366,29.55
original,VPG,367,30.57
original,VPG,368,26.63
original,VPG,369,19.24
original,VPG,370,30.82
original,VPG,371,29.53
original,VPG,372,18.82
original,VPG,373,17.43
original,VPG,374,20.2
original,VPG,375,26.13
original,VPG,376,24.44
original,VPG,377,14.4
original,VPG,378,22.08
original,VPG,379,15.95
original,VPG,380,15.97
original,VPG,381,20.46
original,VPG,382,21.68
original,VPG,383,25.65
original,VPG,384,30.48
original,VPG,385,16.18
original,VPG,386,31.36
original,VPG,387,27.01
original,VPG,388,23.58
original,VPG,389,24.65
