experiment,algo,episode,distance
Medium_See_goal,VPG,0,54.72
Medium_See_goal,VPG,1,49.15
Medium_See_goal,VPG,2,46.9
Medium_See_goal,VPG,3,33.88
Medium_See_goal,VPG,4,36.23
Medium_See_goal,VPG,5,25.57
Medium_See_goal,VPG,6,30.76
Medium_See_goal,VPG,7,26.6
Medium_See_goal,VPG,8,25.99
Medium_See_goal,VPG,9,27.47
Medium_See_goal,VPG,10,30.28
Medium_See_goal,VPG,11,30.83
Medium_See_goal,VPG,12,29.05
Medium_See_goal,VPG,13,26.76
Medium_See_goal,VPG,14,22.82
Medium_See_goal,VPG,15,24.96
Medium_See_goal,VPG,16,26.11
Medium_See_goal,VPG,17,27.83
Medium_See_goal,VPG,18,26.99
Medium_See_goal,VPG,19,28.56
Medium_See_goal,VPG,20,20.27
Medium_See_goal,VPG,21,28.64
Medium_See_goal,VPG,22,28.46
Medium_See_goal,VPG,23,23.16
Medium_See_goal,VPG,24,20.53
Medium_See_goal,VPG,25,29.78
Medium_See_goal,VPG,26,20.4
Medium_See_goal,VPG,27,18.83
Medium_See_goal,VPG,28,22.87
Medium_See_goal,VPG,29,16.36
Medium_See_goal,VPG,30,25.19
Medium_See_goal,VPG,31,19.86
Medium_See_goal,VPG,32,16.74
Medium_See_goal,VPG,33,24.21
Medium_See_goal,VPG,34,20.62
Medium_See_goal,VPG,35,21.79
Medium_See_goal,VPG,36,17.26
Medium_See_goal,VPG,37,18.02
Medium_See_goal,VPG,38,19.64
Medium_See_goal,VPG,39,18.54
Medium_See_goal,VPG,40,24.0
Medium_See_goal,VPG,41,22.39
Medium_See_goal,VPG,42,23.23
Medium_See_goal,VPG,43,19.3
Medium_See_goal,VPG,44,16.84
Medium_See_goal,VPG,45,19.55
Medium_See_goal,VPG,46,18.05
Medium_See_goal,VPG,47,15.01
Medium_See_goal,VPG,48,18.2
Medium_See_goal,VPG,49,19.65
Medium_See_goal,VPG,50,20.65
Medium_See_goal,VPG,51,18.2
Medium_See_goal,VPG,52,23.24
Medium_See_goal,VPG,53,23.65
Medium_See_goal,VPG,54,23.78
Medium_See_goal,VPG,55,19.29
Medium_See_goal,VPG,56,27.57
Medium_See_goal,VPG,57,16.62
Medium_See_goal,VPG,58,18.4
Medium_See_goal,VPG,59,30.23
Medium_See_goal,VPG,60,29.4
Medium_See_goal,VPG,61,30.1
Medium_See_goal,VPG,62,27.51
Medium_See_goal,VPG,63,31.65
Medium_See_goal,VPG,64,28.49
Medium_See_goal,VPG,65,29.79
Medium_See_goal,VPG,66,24.24
Medium_See_goal,VPG,67,29.07
Medium_See_goal,VPG,68,29.35
Medium_See_goal,VPG,69,24.62
Medium_See_goal,VPG,70,30.62
Medium_See_goal,VPG,71,28.96
Medium_See_goal,VPG,72,29.88
Medium_See_goal,VPG,73,34.35
Medium_See_goal,VPG,74,25.15
Medium_See_goal,VPG,75,20.28
Medium_See_goal,VPG,76,27.58
Medium_See_goal,VPG,77,29.49
Medium_See_goal,VPG,78,21.26
Medium_See_goal,VPG,79,30.65
Medium_See_goal,VPG,80,17.57
Medium_See_goal,VPG,81,22.32
Medium_See_goal,VPG,82,24.6
Medium_See_goal,VPG,83,24.92
Medium_See_goal,VPG,84,22.95
Medium_See_goal,VPG,85,25.21
Medium_See_goal,VPG,86,25.09
Medium_See_goal,VPG,87,23.83
Medium_See_goal,VPG,88,30.21
Medium_See_goal,VPG,89,25.97
Medium_See_goal,VPG,90,29.3
Medium_See_goal,VPG,91,25.38
Medium_See_goal,VPG,92,31.01
Medium_See_goal,VPG,93,23.99
Medium_See_goal,VPG,94,20.75
Medium_See_goal,VPG,95,26.5
Medium_See_goal,VPG,96,34.56
Medium_See_goal,VPG,97,31.42
Medium_See_goal,VPG,98,35.35
Medium_See_goal,VPG,99,38.81
Medium_See_goal,VPG,100,33.94
Medium_See_goal,VPG,101,46.09
Medium_See_goal,VPG,102,45.19
Medium_See_goal,VPG,103,55.65
Medium_See_goal,VPG,104,59.48
Medium_See_goal,VPG,105,46.31
Medium_See_goal,VPG,106,45.32
Medium_See_goal,VPG,107,43.52
Medium_See_goal,VPG,108,44.15
Medium_See_goal,VPG,109,39.68
Medium_See_goal,VPG,110,41.72
Medium_See_goal,VPG,111,40.08
Medium_See_goal,VPG,112,37.75
Medium_See_goal,VPG,113,38.2
Medium_See_goal,VPG,114,36.97
Medium_See_goal,VPG,115,32.05
Medium_See_goal,VPG,116,27.99
Medium_See_goal,VPG,117,33.3
Medium_See_goal,VPG,118,31.74
Medium_See_goal,VPG,119,25.76
Medium_See_goal,VPG,120,32.85
Medium_See_goal,VPG,121,30.45
Medium_See_goal,VPG,122,29.29
Medium_See_goal,VPG,123,33.85
Medium_See_goal,VPG,124,28.18
Medium_See_goal,VPG,125,29.08
Medium_See_goal,VPG,126,38.31
Medium_See_goal,VPG,127,42.36
Medium_See_goal,VPG,128,30.83
Medium_See_goal,VPG,129,39.73
Medium_See_goal,VPG,130,27.25
Medium_See_goal,VPG,131,40.12
Medium_See_goal,VPG,132,39.39
Medium_See_goal,VPG,133,25.12
Medium_See_goal,VPG,134,34.06
Medium_See_goal,VPG,135,33.04
Medium_See_goal,VPG,136,32.47
Medium_See_goal,VPG,137,34.91
Medium_See_goal,VPG,138,31.56
Medium_See_goal,VPG,139,33.27
Medium_See_goal,VPG,140,30.27
Medium_See_goal,VPG,141,27.77
Medium_See_goal,VPG,142,33.47
Medium_See_goal,VPG,143,30.24
Medium_See_goal,VPG,144,32.23
Medium_See_goal,VPG,145,32.69
Medium_See_goal,VPG,146,28.44
Medium_See_goal,VPG,147,18.88
Medium_See_goal,VPG,148,35.08
Medium_See_goal,VPG,149,36.61
Medium_See_goal,VPG,150,30.46
Medium_See_goal,VPG,151,34.69
Medium_See_goal,VPG,152,29.65
Medium_See_goal,VPG,153,31.14
Medium_See_goal,VPG,154,27.95
Medium_See_goal,VPG,155,31.82
Medium_See_goal,VPG,156,31.82
Medium_See_goal,VPG,157,33.93
Medium_See_goal,VPG,158,33.11
Medium_See_goal,VPG,159,33.29
Medium_See_goal,VPG,160,33.13
Medium_See_goal,VPG,161,37.57
Medium_See_goal,VPG,162,37.82
Medium_See_goal,VPG,163,25.18
Medium_See_goal,VPG,164,36.42
Medium_See_goal,VPG,165,37.29
Medium_See_goal,VPG,166,36.22
Medium_See_goal,VPG,167,15.67
Medium_See_goal,VPG,168,21.21
Medium_See_goal,VPG,169,37.67
Medium_See_goal,VPG,170,41.27
Medium_See_goal,VPG,171,25.92
Medium_See_goal,VPG,172,25.27
Medium_See_goal,VPG,173,39.73
Medium_See_goal,VPG,174,38.26
Medium_See_goal,VPG,175,37.11
